# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu,,,,,,,,,,
# Mon Jun  2 17:07:37 2025,,,,,,,,,,
#,,,,,,,,,,
# User preference: *,,,,,,,,,,
#,,,,,,,,,,
# CONSTRAINT:  order by pl_name asc,,,,,,,,,,
#,,,,,,,,,,
# COLUMN pl_name:        Planet Name,,,,,,,,,,
# COLUMN hostname:       Host Name,,,,,,,,,,
# COLUMN pl_masse:       Planet Mass [Earth Mass],,,,,,,,,,
# COLUMN pl_massj:       Planet Mass [Jupiter Mass],,,,,,,,,,
# COLUMN pl_msinie:      Planet Mass*sin(i) [Earth Mass],,,,,,,,,,
# COLUMN pl_msinij:      Planet Mass*sin(i) [Jupiter Mass],,,,,,,,,,
# COLUMN pl_cmasse:      Planet Mass*sin(i)/sin(i) [Earth Mass],,,,,,,,,,
# COLUMN pl_cmassj:      Planet Mass*sin(i)/sin(i) [Jupiter Mass],,,,,,,,,,
# COLUMN pl_bmasse:      Planet Mass or Mass*sin(i) [Earth Mass],,,,,,,,,,
# COLUMN pl_bmassj:      Planet Mass or Mass*sin(i) [Jupiter Mass],,,,,,,,,,
# COLUMN pl_bmassprov:   Planet Mass or Mass*sin(i) Provenance,,,,,,,,,,
#,,,,,,,,,,
pl_name,hostname,pl_masse,pl_massj,pl_msinie,pl_msinij,pl_cmasse,pl_cmassj,pl_bmasse,pl_bmassj,pl_bmassprov
11 Com b,11 Com,NULL,NULL,5434.7,17.1,NULL,NULL,5434.7,17.1,Msini
11 Com b,11 Com,NULL,NULL,6165.6,19.4,NULL,NULL,6165.6,19.4,Msini
11 Com b,11 Com,NULL,NULL,4914.898486,15.464,NULL,NULL,4914.898486,15.464,Msini
11 UMi b,11 UMi,NULL,NULL,4684.8142,14.74,NULL,NULL,4684.8142,14.74,Msini
11 UMi b,11 UMi,NULL,NULL,3432.4,10.8,NULL,NULL,3432.4,10.8,Msini
11 UMi b,11 UMi,NULL,NULL,3337.07,10.5,NULL,NULL,3337.07,10.5,Msini
14 And b,14 And,NULL,NULL,1131.151301,3.559,NULL,NULL,1131.151301,3.559,Msini
14 And b,14 And,NULL,NULL,1017,3.2,NULL,NULL,1017,3.2,Msini
14 And b,14 And,NULL,NULL,1525.5,4.8,NULL,NULL,1525.5,4.8,Msini
14 Her b,14 Her,NULL,NULL,1474.67,4.64,NULL,NULL,1474.67,4.64,Msini
14 Her b,14 Her,NULL,NULL,1581.138,4.975,NULL,NULL,1581.138,4.975,Msini
14 Her b,14 Her,2559.472162,8.053,NULL,NULL,NULL,NULL,2559.472162,8.053,Mass
14 Her b,14 Her,NULL,NULL,1481.0878,4.66,NULL,NULL,1481.0878,4.66,Msini
14 Her b,14 Her,NULL,NULL,1506.45,4.74,NULL,NULL,1506.45,4.74,Msini
14 Her b,14 Her,NULL,NULL,1541.467774,4.85,NULL,NULL,1541.467774,4.85,Msini
14 Her b,14 Her,NULL,NULL,1554.12,4.89,NULL,NULL,1554.12,4.89,Msini
14 Her b,14 Her,NULL,NULL,1440.663,4.533,NULL,NULL,1440.663,4.533,Msini
16 Cyg B b,16 Cyg B,NULL,NULL,556.8353691,1.752,NULL,NULL,556.8353691,1.752,Msini
16 Cyg B b,16 Cyg B,NULL,NULL,533.9544,1.68,NULL,NULL,533.9544,1.68,Msini
16 Cyg B b,16 Cyg B,NULL,NULL,476.7,1.5,NULL,NULL,476.7,1.5,Msini
16 Cyg B b,16 Cyg B,NULL,NULL,533.93,1.68,NULL,NULL,533.93,1.68,Msini
16 Cyg B b,16 Cyg B,NULL,NULL,533.93,1.68,NULL,NULL,533.93,1.68,Msini
16 Cyg B b,16 Cyg B,NULL,NULL,565.7374,1.78,NULL,NULL,565.7374,1.78,Msini
17 Sco b,17 Sco,NULL,NULL,1373.018718,4.32,NULL,NULL,1373.018718,4.32,Msini
18 Del b,18 Del,NULL,NULL,3273.5,10.3,NULL,NULL,3273.5,10.3,Msini
18 Del b,18 Del,NULL,NULL,2926.246143,9.207,NULL,NULL,2926.246143,9.207,Msini
18 Del b,18 Del,NULL,NULL,3127.3,9.84,NULL,NULL,3127.3,9.84,Msini
1RXS J160929.1-210524 b,1RXS J160929.1-210524,4000,12,NULL,NULL,NULL,NULL,4000,12,Mass
1RXS J160929.1-210524 b,1RXS J160929.1-210524,3000,8,NULL,NULL,NULL,NULL,3000,8,Mass
1RXS J160929.1-210524 b,1RXS J160929.1-210524,3000,8,NULL,NULL,NULL,NULL,3000,8,Mass
1RXS J160929.1-210524 b,1RXS J160929.1-210524,2543,8,NULL,NULL,NULL,NULL,2543,8,Mass
24 Boo b,24 Boo,NULL,NULL,289.2253,0.91,NULL,NULL,289.2253,0.91,Msini
24 Boo b,24 Boo,NULL,NULL,280.6424834,0.883,NULL,NULL,280.6424834,0.883,Msini
24 Sex b,24 Sex,NULL,NULL,632.46,1.99,NULL,NULL,632.46,1.99,Msini
24 Sex c,24 Sex,NULL,NULL,273.32,0.86,NULL,NULL,273.32,0.86,Msini
2M0437 b,2MASS J04372171+2651014,1271.313628,4,NULL,NULL,NULL,NULL,1271.313628,4,Mass
2MASS J01033563-5515561 AB b,2MASS J01033563-5515561 A,4131.79,13,NULL,NULL,NULL,NULL,4131.79,13,Mass
2MASS J01225093-2439505 b,2MASS J01225093-2439505,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2MASS J01225093-2439505 b,2MASS J01225093-2439505,7786.5,24.5,NULL,NULL,NULL,NULL,7786.5,24.5,Mass
2MASS J02192210-3925225 b,2MASS J02192210-3925225,4417.837,13.9,NULL,NULL,NULL,NULL,4417.837,13.9,Mass
2MASS J0249-0557 c,2MASS J0249-0557 A,3686.809521,11.6,NULL,NULL,NULL,NULL,3686.809521,11.6,Mass
2MASS J03590986+2009361 b,2MASS J03590986+2009361,5720.911326,18,NULL,NULL,NULL,NULL,5720.911326,18,Mass
2MASS J04414489+2301513 b,2MASS J04414489+2301513,2383.6,7.5,NULL,NULL,NULL,NULL,2383.6,7.5,Mass
2MASS J11011926-7732383 b,2MASS J11011926-7732383,8899.195396,28,NULL,NULL,NULL,NULL,8899.195396,28,Mass
2MASS J11550485-7919108 b,2MASS J11550485-7919108,6356.56814,20,NULL,NULL,NULL,NULL,6356.56814,20,Mass
2MASS J12073346-3932539 b,2MASS J12073346-3932539,1589.15,5,NULL,NULL,NULL,NULL,1589.15,5,Mass
2MASS J12073346-3932539 b,2MASS J12073346-3932539,1271,4,NULL,NULL,NULL,NULL,1271,4,Mass
2MASS J19383260+4603591 b,2MASS J19383260+4603591,NULL,NULL,591.160837,1.86,NULL,NULL,591.160837,1.86,Msini
2MASS J19383260+4603591 b,2MASS J19383260+4603591,603.877,1.9,NULL,NULL,NULL,NULL,603.877,1.9,Mass
2MASS J21252752-8138278 b,2MASS J21252752-8138278,3813.940884,12,NULL,NULL,NULL,NULL,3813.940884,12,Mass
2MASS J22362452+4751425 b,2MASS J22362452+4751425,3972.875,12.5,NULL,NULL,NULL,NULL,3972.875,12.5,Mass
30 Ari B b,30 Ari B,NULL,NULL,3140.03,9.88,NULL,NULL,3140.03,9.88,Msini
30 Ari B b,30 Ari B,NULL,NULL,2097.678,6.6,NULL,NULL,2097.678,6.6,Msini
30 Ari B b,30 Ari B,NULL,NULL,4392.4106,13.82,NULL,NULL,4392.4106,13.82,Msini
4 UMa b,4 UMa,NULL,NULL,2511.480072,7.902,NULL,NULL,2511.480072,7.902,Msini
4 UMa b,4 UMa,NULL,NULL,2256.5,7.1,NULL,NULL,2256.5,7.1,Msini
42 Dra b,42 Dra,NULL,NULL,1233.13,3.88,NULL,NULL,1233.13,3.88,Msini
47 UMa b,47 UMa,NULL,NULL,778.6835,2.45,NULL,NULL,778.6835,2.45,Msini
47 UMa b,47 UMa,NULL,NULL,804.08,2.53,NULL,NULL,804.08,2.53,Msini
